time,acc,vel,height,lat,lon,pos,bat,event
0.0,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.125,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.25,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.375,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.5,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.625,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.75,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
0.875,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.0,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.125,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.25,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.375,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.5,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.625,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.75,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
1.875,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.0,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.125,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.25,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.375,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.5,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.625,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.75,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
2.875,0.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,0
3.0,20.0,0.0,0.0,50.587249755859375,8.683231353759766,100.0,8.399999618530273,4
3.125,20.0,2.5,0.15625,50.58723385794922,8.683247251669917,102.5,8.38624961860478,4
3.25,20.0,5.0,0.625,50.58721796003908,8.683263149580066,105.0,8.372499618679285,4
3.375,20.0,7.5,1.40625,50.587202062128924,8.683279047490217,107.5,8.35874961875379,4
3.5,20.0,10.0,2.5,50.58718616421877,8.683294945400366,110.0,8.344999618828297,4
3.625,20.0,12.5,3.90625,50.587170266308625,8.683310843310517,112.5,8.331249618902802,4
